site	device	port	iftype	netbox_description	far_device	far_port	far_role	class	mbps	expected	len	note
CH-NKN-G08	CH-NKN-G08-GFL-ACCE01	17	1000base-t	GFL-ACPO01	CH-NKN-G08-GFL-ACPO01	mgmt0	Access Point	UP	1000	UP-GFL-AP01	11	
CH-NKN-G08	CH-NKN-G08-GFL-ACCE01	19	1000base-t	GFL-ACPO02	CH-NKN-G08-GFL-ACPO02	mgmt0	Access Point	UP	1000	UP-GFL-AP02	11	
CH-NKN-G08	CH-NKN-G08-GFL-ACCE01	21	1000base-t	GFL-ACPO04	CH-NKN-G08-GFL-ACPO04	mgmt0	Access Point	UP	1000	UP-GFL-AP04	11	
CH-NKN-G08	CH-NKN-G08-GFL-ACCE01	22	1000base-t	GFL-ACPO03	CH-NKN-G08-GFL-ACPO03	mgmt0	Access Point	UP	1000	UP-GFL-AP03	11	
CH-NKN-G08	CH-NKN-G08-GFL-ACCE01	23	1000base-t	GFL-DIST01_p1	CH-NKN-G08-GFL-DIST01	1	Switch Dist	USW	1000	USW-1G-GFL-D01_1	16	
CH-NKN-G08	CH-NKN-G08-GFL-ACCE01	24	1000base-t	GFL-DIST01_p2	CH-NKN-G08-GFL-DIST01	2	Switch Dist	USW	1000	USW-1G-GFL-D01_2	16	
CH-NKN-G08	CH-NKN-G08-GFL-ACCE02	23	1000base-t		CH-NKN-G08-GFL-DIST01	3	Switch Dist	USW	1000	USW-1G-GFL-D01_3	16	
CH-NKN-G08	CH-NKN-G08-GFL-ACCE02	24	1000base-t		CH-NKN-G08-GFL-DIST01	4	Switch Dist	USW	1000	USW-1G-GFL-D01_4	16	
CH-NKN-G08	CH-NKN-G08-GFL-DIST01	1	1000base-t	GFL-ACCE01_p23	CH-NKN-G08-GFL-ACCE01	23	Switch Access	USW	1000	USW-1G-GFL-A01_23	17	
CH-NKN-G08	CH-NKN-G08-GFL-DIST01	2	1000base-t	GFL-ACCE01_p24	CH-NKN-G08-GFL-ACCE01	24	Switch Access	USW	1000	USW-1G-GFL-A01_24	17	
